Designator,Mid X,Mid Y,Rotation,Layer
C10,91.5375,-145.0,180.0,top
C11,91.04,-106.0225,270.0,top
C12,94.04,-124.2975,90.0,top
C13,66.04,-120.5225,90.0,top
C14,60.04,-126.5225,270.0,top
C15,79.2075,-123.3627,90.0,top
C16,56.5055,-118.66,180.0,top
C17,81.1775,-142.48,180.0,top
C19,67.6625,-138.5,180.0,top
C2,87.54,-113.0225,270.0,top
C21,50.0,-139.5,90.0,top
C22,71.6775,-139.16,0.0,top
C23,76.0975,-142.48,180.0,top
C24,56.1775,-127.39,180.0,top
C25,38.04,-115.7975,90.0,top
C27,98.6775,-125.66,180.0,top
C28,98.6775,-122.66,180.0,top
C29,98.6775,-128.66,180.0,top
C3,87.54,-108.0225,270.0,top
C30,82.04,-132.32,180.0,top
C31,76.96,-138.16,180.0,top
C32,82.04,-137.4,180.0,top
C4,110.0,-131.4575,90.0,top
C5,66.8,-106.92,90.0,top
C6,42.54,-118.7975,270.0,top
C7,38.25,-126.74,270.0,top
C8,72.1775,-111.41,180.0,top
C9,63.04,-126.0225,90.0,top
D1,94.665,-104.66,0.0,top
D2,85.9,-117.8752,90.0,top
D3,62.425,-136.0,180.0,top
D4,68.165,-116.66,0.0,top
D5,88.025,-137.0,180.0,top
J1,105.05,-123.16,270.0,top
J3,73.59,-97.43,90.0,top
J4,38.95,-142.0,270.0,top
L1,101.4,-136.8375,90.0,top
L2,86.37,-131.0002,0.0,top
R10,90.175,-141.5,180.0,top
R11,81.7075,-117.9925,90.0,top
R12,61.535,-117.16,0.0,top
R13,67.3,-144.5,180.0,top
R14,98.1275,-105.66,0.0,top
R16,72.1275,-116.66,0.0,top
R19,88.9,-117.9127,270.0,top
R2,94.0,-141.5,180.0,top
R20,89.9875,-134.5,0.0,top
R22,75.29,-125.41,270.0,top
R23,100.54,-112.0725,270.0,top
R24,75.4525,-105.66,180.0,top
R25,67.3875,-142.0,180.0,top
R27,73.4525,-102.66,180.0,top
R28,50.0,-144.0875,270.0,top
R29,48.0,-135.5,180.0,top
R30,44.0,-135.5,180.0,top
R31,42.4,-122.16,180.0,top
R32,89.6275,-127.66,180.0,top
R33,97.28,-132.32,180.0,top
R34,52.56,-122.16,180.0,top
R4,82.54,-123.3252,90.0,top
R5,62.3875,-134.0,180.0,top
R6,52.5,-136.0,180.0,top
R7,52.5,-132.5,180.0,top
R8,61.6275,-112.16,0.0,top
R9,61.6275,-115.16,0.0,top
SW1,108.0,-140.5,180.0,top
U1,93.9399,-111.8849,180.0,top
U10,95.54,-137.25995,0.0,top
U11,89.64025,-124.16,270.0,top
U13,45.5001,-142.0,0.0,top
U2,72.0249,-106.9662,90.0,top
U3,47.04,-120.66,0.0,top
U4,69.1401,-125.66,180.0,top
U5,47.19,-127.61,0.0,top
U6,57.04,-122.66,0.0,top
U9,57.5,-142.48,0.0,top
